file,line_number,classification,match_tier,reason,raw_date,date,account_raw,account_code,account_name,description,csv_key_raw,csv_debit,csv_credit,csv_net,alms_id,alms_date,alms_account_code,alms_account_name,alms_description,alms_debit,alms_credit,alms_net
Copy of General_ledger2.csv,188,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2506 Leases and Loans:L-14 2010 Ford E450 Limo Bus,2506,Leases and Loans:L-14 2010 Ford E450 Limo Bus,Journal Entry,,62098.49,,62098.49,,,,,,,,
Copy of General_ledger2.csv,191,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2507 Leases and Loans:L-15 2012 E350 Limo Bus,2507,Leases and Loans:L-15 2012 E350 Limo Bus,Journal Entry,,67597.85,,67597.85,,,,,,,,
Copy of General_ledger2.csv,194,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2508 Leases and Loans:L4 2007 Lincon Town Car,2508,Leases and Loans:L4 2007 Lincon Town Car,Journal Entry,,12348.60,,12348.60,,,,,,,,
Copy of General_ledger2.csv,197,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2509 Leases and Loans:L17 - Bus,2509,Leases and Loans:L17 - Bus,Journal Entry,,2490.00,,2490.00,,,,,,,,
Copy of General_ledger2.csv,201,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2600 Heffner (503.57),2600,Heffner (503.57),Journal Entry,,51364.14,,51364.14,,,,,,,,
Copy of General_ledger2.csv,204,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2611 Woodridge Ford (752.56),2611,Woodridge Ford (752.56),Journal Entry,,12046.96,,12046.96,,,,,,,,
Copy of General_ledger2.csv,207,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2612 Woodridge Ford (1183.14),2612,Woodridge Ford (1183.14),Journal Entry,,29578.50,,29578.50,,,,,,,,
Copy of General_ledger2.csv,210,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2800 L-8 2008 Ford Expedition,2800,L-8 2008 Ford Expedition,Journal Entry,,,5919.38,-5919.38,,,,,,,,
Copy of General_ledger2.csv,213,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2801 L-9 2007 LIncoln Town Car,2801,L-9 2007 LIncoln Town Car,Journal Entry,,,23125.31,-23125.31,,,,,,,,
Copy of General_ledger2.csv,216,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2802 L-10 2010 Ford E450 Bus,2802,L-10 2010 Ford E450 Bus,Journal Entry,,,54480.19,-54480.19,,,,,,,,
